Question,Options,Answer
1Instrument used to measure earthquake is known as        ,A.seismographB.quake meterC.barometerD.none of the above ,    Answer: Option [A]    
2Magnitude of energy released by an earthquake is calculated using   ,A.Earthquake scaleB.Seismic scaleC.Richter scaleD.Temblor scale ,    Answer: Option [C]    
3The point within the Earth where earthquakes originate is:        ,A.commaB.originC.epicenterD.focus ,    Answer: Option [D]    
4Place directly above focus on Earth's surface is known as           ,A.strikeB.commaC.epicenterD.origin ,    Answer: Option [C]    
"5In general, the most destructive earthquake waves are the __________ .           ",A.P wavesB.S wavesC.Surface wavesD.All of the above ,    Answer: Option [C]    
6P Waves are also said to be __________ waves.        ,A.push-pullB.side-sideC.up-downD.none of the above ,    Answer: Option [A]    
7P Waves can pass through ______   ,"A.crust and core onlyB.liquids and gases onlyC.solids, gases, and liquidsD.none of the above ",    Answer: Option [C]    
8Earthquakes occur most frequently at        ,A.plate boundariesB.plate surfaceC.ocean bedsD.all of the above ,    Answer: Option [A]    
9Amount of energy released by an earthquake is also known as           ,A.waveB.scaleC.unitD.magnitude ,    Answer: Option [D]    
10How many seismograph stations are needed to locate the epicenter of an earthquake ?           ,A.2B.3C.4D.5 ,    Answer: Option [B]    
11S Waves can pass through ________.        ,A.solids onlyB.gases onlyC.liquids onlyD.all of the above ,    Answer: Option [A]    
12The _____Waves are said to the most damaging to humans.   ,A.SB.PC.LD.Q ,    Answer: Option [C]    
13Vibrations radiate from focus in all direction as        ,A.Seismic wavesB.Transverse wavesC.Longitudinal wavesD.None of the above ,    Answer: Option [A]    
14The amount of ground displacement in an earthquake is called the _________            ,A.focusB.slipC.dipD.none of the above ,    Answer: Option [B]    
15The _____Waves are the slowest.           ,A.QB.PC.SD.L ,    Answer: Option [D]    
16The _____ Waves are the fastest        ,A.PB.LC.SD.Q ,    Answer: Option [A]    
17Earthquakes occur when there is a sudden release of stored up energy in Earth's   ,A.outer coreB.inner coreC.upper mantleD.none of the above ,    Answer: Option [C]    
18Body waves consist of the:        ,A.S waves onlyB.P waves onlyC.Surface wavesD.Both (A) and (B) ,    Answer: Option [D]    
19P waves are:           ,A.tensional surface waves.B.transverse surface waves.C.compressional body waves.D.none of the above ,    Answer: Option [C]    
20Earthquakes usually occur at boundary of             ,A.coral plateB.crustal platesC.volcanic bedsD.all of the above ,    Answer: Option [B]    
21Magma which is forced onto Earth's surface is known as        ,A.LavaB.VentC.ConeD.None of the above ,    Answer: Option [A]    
22Volcanoes that erupt frequently are known as   ,A.Active volcanoesB.Extinct volcanoesC.Instinct volcanoesD.Dormant volcanoes ,    Answer: Option [A]    
23Volcanoes that haven't erupted in historic times are known as        ,A.Active volcanoesB.Instinct volcanoesC.Dormant volcanoesD.Extinct volcanoes ,    Answer: Option [D]    
"24Basic lava erupts out of volcano, throwing out mainly           ",A.COB.dustC.ashD.all of the above ,    Answer: Option [C]    
25Shield volcanoes are _____ in size:                     ,A.SmallB.MediumC.HugeD.None of the above ,    Answer: Option [C]    
26A hole in Earth's crust through which magma comes to Earth's surface is known as            ,A.CraterB.VentC.ConeD.Pipe ,    Answer: Option [B]    
27Layers of volcanic materials that build up around vent to form a cone-shaped structure are known as,A.CraterB.VentC.ConeD.None of the above ,    Answer: Option [C]    
28Fluidity of lava is determined by amount of        ,A.silicaB.copperC.ironD.zinc ,    Answer: Option [A]    
29Top of magma is forced onto Earth's surface is known as        ,A.PipeB.ConeC.VentD.Crater ,    Answer: Option [D]    
"30Volcanoes that have erupted in historic times and are still likely to erupt, are known as                     ",A.Instinct volcanoesB.Active volcanoesC.Dormant volcanoesD.Extinct volcanoes ,    Answer: Option [C]    
31This is the scale used to measure the size of volcanic eruptions        ,A.Richter ScaleB.Volcanic Explosivity IndexC.Volcano Eruptivity ScaleD.None of the above ,    Answer: Option [B]    
32Eruptions from composite volcanoes are usually   ,A.light and less violentB.loud but less violentC.soft and more violentD.loud and more violent ,    Answer: Option [D]    
33Acid lava flows slowly as it is highly        ,A.denseB.viscousC.sensitiveD.all of the above ,    Answer: Option [B]    
34Passageway which joins vent to crater of volcano is known as           ,A.CraterB.VentC.ConeD.Pipe ,    Answer: Option [D]    
35Eruptions of composite volcanoes are loud and violent because that contain           ,A.basic lavaB.viscous composite lavaC.viscous acid lavaD.none of the above ,    Answer: Option [C]    
36In which direction the Earth rotates around its axis ?        ,A.north to southB.east to westC.west to eastD.randomly ,    Answer: Option [C]    
37Mohs scale is used to determine :   ,A.degree of brightness of a substanceB.degree of hardness of mineralsC.degree of viscosity of a liquidD.degree of elasticity of a material ,    Answer: Option [B]    
38In which situation Spring tides can occur :        ,"A.the moon, sun and the earth are at right angles with the earth at the apexB.the moon is farthest from the earthC.the sun is closest to the earthD.the moon, the sun and the earth in the same line ",    Answer: Option [D]    
39Total surface area of the earth in square kilometer is :           ,A.510.1 million square kilometerB.512.8 million square kilometerC.520 million square kilometerD.525.7 million square kilometer ,    Answer: Option [A]    
40The Earth while rotates around the Sun It always keeps its axis pointed towards :           ,A.the moonB.the pole starC.VenusD.the sun ,    Answer: Option [B]    
41The greatest amount of isolation is received by which place of Earth's surface ?        ,A.Tropical rainforestB.Tropical desertsC.Savanna regionD.Equatorial region ,    Answer: Option [B]    
42What is the actual shape of the Earth ?   ,A.flatB.circleC.sphereD.oblate spheroid ,    Answer: Option [D]    
43What is the circumference of the Earth in kilometers ?        ,A.38005 KMB.40075 KMC.41000 KMD.41075 KM ,    Answer: Option [B]    
44Tides in the sea have stored in them :           ,A.hydraulic energyB.kinetic energyC.gravitional potential energyD.a combination of all the above three forms of energy ,    Answer: Option [D]    
45Consider the following statements :                     ,A.I onlyB.II onlyC.Both I and IID.Neither I nor II ,    Answer: Option [C]    
46Tropic of Cancer does not pass through which one of the following countries ?        ,A.BangladeshB.ChinaC.NepalD.India ,    Answer: Option [C]    
47The upper part of the mantle upon which the crust of the Earth floats is called :   ,A.barysphereB.mesosphereC.Mohorovicic discontinuityD.asthenosphere ,    Answer: Option [D]    
48Who among the following was the first to measure the circumference of the Earth ?        ,A.EratosthenesB.AristotleC.HecataeusD.Herodotus ,    Answer: Option [A]    
49The International Date line passes through :           ,A.Bering straitB.Gibraltar straitC.Florida straitD.Malacca strait ,    Answer: Option [A]    
50What happens when a ship crosses International Date Line from west to east ?                     ,A.It gains one dayB.It loses one dayC.It loses 10 hrsD.It gains half a day ,    Answer: Option [B]    
51What is the time difference between longitudes ?            ,A.5 minutesB.5 minutes 20 secondsC.4 minutesD.4 minutes 20 seconds ,    Answer: Option [C]    
52The time required for the earth to return to a given point in its orbit with reference to fixed star is :,A.Lunar yearB.Solar yearC.Tropcal yearD.Sidereal year ,    Answer: Option [D]    
53The Earth is an oblate spheroid and not a perfect sphere. This is because :                        ,"A.I onlyB.I and IIC.III onlyD.I, II and III ",    Answer: Option [B]    
54Consider the following statements :                    ,"A.I and IIB.III and IVC.I, II and IIID.II, III and IV ",    Answer: Option [D]    
55How many kilometers are represented by 1 degree of latitude ?                     ,A.191 KMB.161 KMC.141 KMD.111 KM ,    Answer: Option [D]    
56The Tropic of Cancer passes through :        ,A.India and IranB.Iran and PakistanC.India and Saudi ArabiaD.Iran and Iraq ,    Answer: Option [C]    
57The Core of the Earth is made up of :   ,A.mainly of iron in the liquid formB.mainly of nickel in the liquid formC.both iron and silica in the liquid formD.both iron and magnesium in the plastic state ,    Answer: Option [D]    
58Which one of the following minerals occurs abundantly in the earth's crust ?        ,A.BauxiteB.SilicaC.ManganeseD.Iron ,    Answer: Option [B]    
59Which one of the following elements is the most abundant in the Earth's crust ?           ,A.OxygenB.SulpherC.SiliconD.Carbon ,    Answer: Option [A]    
60The approximate circumference of the Earth is :           ,A.13000 kmB.20000 kmC.25000 kmD.40075 km ,    Answer: Option [D]    
6P Waves are also said to be __________ waves.        ,A.push-pullB.side-sideC.up-downD.none of the above ,    Answer: Option [A]    
7P Waves can pass through ______   ,"A.crust and core onlyB.liquids and gases onlyC.solids, gases, and liquidsD.none of the above ",    Answer: Option [C]    
8Earthquakes occur most frequently at        ,A.plate boundariesB.plate surfaceC.ocean bedsD.all of the above ,    Answer: Option [A]    
9Amount of energy released by an earthquake is also known as           ,A.waveB.scaleC.unitD.magnitude ,    Answer: Option [D]    
10How many seismograph stations are needed to locate the epicenter of an earthquake ?           ,A.2B.3C.4D.5 ,    Answer: Option [B]    
